batsmanName,runs
ShubmanGill,1851
FafduPlessis,1831
RuturajGaikwad,1593
KLRahul,1516
JosButtler,1509
ShikharDhawan,1392
ViratKohli,1385
SanjuSamson,1304
SuryakumarYadav,1225
GlennMaxwell,1214
NitishRana,1157
DavidWarner,1137
YashasviJaiswal,1132
IshanKishan,1113
RahulTripathi,1083
DevduttPadikkal,1048
RohitSharma,981
HardikPandya,960
VenkateshIyer,956
QuintondeKock,948
ShivamDube,937
DevonConway,924
MayankAgarwal,907
DavidMiller,864
ShimronHetmyer,854
WriddhimanSaha,819
PrithviShaw,815
AidenMarkram,775
LiamLivingstone,758
AbhishekSharma,745
AndreRussell,745
TilakVarma,740
NicholasPooran,729
MoeenAli,725
RishabhPant,722
DeepakHooda,695
DineshKarthik,693
AmbatiRayudu,689
RinkuSingh,648
MarcusStoinis,645
ShreyasIyer,576
JiteshSharma,543
ManishPandey,540
RavindraJadeja,533
KrunalPandya,514
SaiSudharsan,507
AxarPatel,505
AjinkyaRahane,467
JonnyBairstow,463
RahulTewatia,459
CameronGreen,452
MSDhoni,450
HeinrichKlaasen,448
JasonRoy,435
MShahrukhKhan,426
TimDavid,418
KaneWilliamson,416
RajatPatidar,404
PrabhsimranSingh,391
KieronPollard,389
MitchellMarsh,379
VijayShankar,370
KyleMayers,365
RiyanParag,354
RobinUthappa,345
AyushBadoni,340
SamCurran,332
ShahbazAhmed,320
MahipalLomror,315
ABdeVilliers,313
RashidKhan,304
RavichandranAshwin,302
LalitYadav,295
AbdulSamad,284
BhanukaRajapaksa,277
RovmanPowell,257
NehalWadhera,241
ShardulThakur,238
RahmanullahGurbaz,227
EvinLewis,224
AbhinavManohar,222
AnujRawat,220
PhilSalt,218
RileeRossouw,209
SrikarBharat,199
ChrisGayle,193
WashingtonSundar,192
HarryBrook,190
AtharvaTaide,186
SamBillings,169
DewaldBrevis,161
SureshRaina,160
MatthewWade,157
PatCummins,156
JasonHolder,155
SunilNarine,154
DhruvJurel,152
SarfarazKhan,144
PriyamGarg,140
SikandarRaza,139
HarpreetBrar,138
AnmolpreetSingh,134
EoinMorgan,133
NarayanJagadeesan,129
StevenSmith,118
MatthewShort,117
SaurabhTiwary,115
AmanHakimKhan,115
JaydevUnadkat,109
HarshalPatel,108
SuyashPrabhudessai,102
BhuvneshwarKumar,100
PrerakMankad,97
RahulChahar,91
AaronFinch,86
RipalPatel,80
KuldeepYadav,79
HarpreetSingh,76
UmeshYadav,74
WaninduHasaranga,72
DwayneBravo,70
ShashankSingh,69
VivrantSharma,69
ChrisMorris,67
HrithikShokeen,66
GlennPhillips,65
KyleJamieson,65
KagisoRabada,61
MananVohra,61
KrishnappaGowtham,60
RomarioShepherd,58
MichaelBracewell,58
KedarJadhav,58
TrentBoult,57
RishiDhawan,57
DavidWilley,53
OdeanSmith,51
MohammedSiraj,51
ChrisLynn,49
ChrisJordan,49
MarcoJansen,48
MandeepSingh,47
ShakibAlHasan,47
RamandeepSingh,45
DanielSams,44
DwainePretorius,44
DushmanthaChameera,43
AnrichNortje,38
VishnuVinod,37
JayantYadav,34
MohammadNabi,34
AbishekPorel,33
SherfaneRutherford,33
DarylMitchell,33
MoisesHenriques,31
JamesNeesham,31
ShivamMavi,28
AveshKhan,27
MuruganAshwin,27
TristanStubbs,27
TimSeifert,26
DasunShanaka,26
DawidMalan,26
PiyushChawla,25
ArshdeepSingh,25
MitchellSantner,24
SheldonJackson,23
MohsinKhan,23
LockieFerguson,23
AnukulRoy,23
UmranMalik,23
RassievanderDussen,22
AdilRashid,22
RaviBishnoi,21
MayankMarkande,21
DavidWiese,21
TomCurran,21
BabaIndrajith,21
ChetanSakariya,20
NathanEllis,19
AmitMishra,19
JoshHazlewood,19
MohammedShami,18
ArshadKhan,18
AkashDeep,17
JaspritBumrah,16
AdamMilne,16
ShreyasGopal,16
Naveen-ul-Haq,16
PraveenDubey,16
YashDhull,16
KarunNair,16
AkealHosein,16
BenStokes,15
YuzvendraChahal,15
ChrisWoakes,15
JhyeRichardson,15
VarunChakravarthy,15
DanChristian,14
FabianAllen,14
ArjunTendulkar,13
VijaykumarVyshak,13
AlzarriJoseph,12
MustafizurRahman,12
SanvirSingh,11
ViratSingh,11
MarkWood,11
RajBawa,11
AdamZampa,10
SandeepSharma,10
JoeRoot,10
KartikTyagi,9
KumarKartikeya,9
NoorAhmad,8
ObedMcCoy,8
SiddarthKaul,8
VaibhavArora,8
SimarjeetSingh,7
MukeshKumar,7
KaranSharma,7
MaheeshTheekshana,7
SachinBaby,7
SeanAbbott,7
RasikhSalam,7
PrasidhKrishna,6
MukeshChoudhary,6
JasonBehrendorff,6
NathanCoulter-Nile,5
TimSouthee,5
LittonDas,4
AbhijeetTomar,4
JofraArcher,4
HarbhajanSingh,4
NavdeepSaini,4
KarnSharma,3
FazalhaqFarooqi,3
TabraizShamsi,2
PradeepSangwan,2
DeepakChahar,2
SwapnilSingh,2
GeorgeGarton,2
WayneParnell,2
HarshitRana,2
JagadeeshaSuchith,2
MohitRathee,1
KhaleelAhmed,1
AbdulBasith,1
IshantSharma,1
MujeebUrRahman,1
YudhvirSingh,1
KuldipYadav,0
KuldeepSen,0
TymalMills,0
KMAsif,0
KamleshNagarkoti,0
MohitSharma,0
DarshanNalkande,0
DhawalKulkarni,0
RileyMeredith,0
ShahbazNadeem,0
SanjayYadav,0
TNatarajan,0
YashDayal,0
TusharDeshpande,0
